number,name,earnings in USD,Number of major tournaments won,Number of second place placing,number of third place placings,number of regional tournaments won
646,Jisu,"$19,634",3,3,1,0
647,Chaser,"$19,486",0,0,0,0
648,poome,"$19,420",3,1,3,0
649,Jirall,"$19,401",4,1,3,0
650,Tuesday,"$19,390",2,3,1,0
651,Newbie,"$19,360",1,5,3,0
652,POP,"$19,358",5,0,0,0
653,Dia1,"$19,323",0,3,1,0
654,Destiny,"$19,240",5,3,1,1
655,Vetheo,"$19,209",2,2,1,0
656,WarL0cK,"$19,118",1,3,1,0
656,Samux,"$19,115",0,2,1,0
656,Apex,"$18,989",1,1,2,0
659,SolidSnake,"$18,975",4,1,2,0
660,Lies,"$18,889",0,1,0,0
661,Ysera,"$18,853",0,2,2,0
662,Ablazeolive,"$18,800",1,0,1,0
663,Babip,"$18,767",4,2,0,1
664,Jestkui Max,"$18,751",0,3,0,0
665,Shadow,"$18,695",1,3,1,0
666,Lekcycc,"$18,690",0,4,2,0
666,Phaxi,"$18,605",4,5,2,0
668,World6,"$18,523",0,0,0,0
669,TrAce,"$18,462",0,0,0,0
670,ikssu,"$18,457",0,0,2,0
671,Morgan,"$18,426",1,0,1,0
672,Mitsuki,"$18,416",2,0,0,0
673,Contractz,"$18,400",2,2,0,1
674,Shady,"$18,330",3,3,3,1
675,Puff,"$18,301",0,0,1,0
676,Southwind,"$18,301",0,0,0,0
677,LaMiaZeaLoT,"$18,250",3,0,1,1
678,Ventair,"$18,242",5,1,3,0
679,Taxer,"$18,221",9,12,3,0
680,Envy,"$18,128",4,1,0,0
681,Falco,"$18,065",4,1,0,0
682,Klaj,"$18,005",0,4,4,0
683,Zorozero,"$18,000",1,3,0,0
684,LEP,"$17,968",1,1,4,0
684,Satorius,"$17,929",0,2,2,0
686,COLD,"$17,923",1,0,1,1
687,Wako,"$17,894",0,1,2,0
688,Mystiques,"$17,852",5,7,1,0
689,QaspieL,"$17,762",3,4,1,0
690,Patrik,"$17,711",2,1,0,1
691,Pandar,"$17,635",5,1,1,0
692,Yoshino,"$17,620",3,0,0,0
693,Roison,"$17,583",0,5,3,0
694,Xiaopeng,"$17,566",4,0,0,0
695,Changhong,"$17,566",4,0,0,0
696,Twila,"$17,566",4,0,0,0
697,Hatrixx,"$17,400",2,2,1,0
698,Emp,"$17,359",0,4,2,0
699,Beyond,"$17,352",0,2,0,0
700,Tempt,"$17,288",0,0,0,0
701,BioPanther,"$17,274",4,0,0,1
702,Magic,"$17,160",1,0,1,0
703,Selfie,"$17,122",1,1,0,0
704,zig,"$17,100",1,0,2,1
705,Broeki,"$17,045",5,1,1,0
706,XiaoXiao,"$17,020",0,1,0,0
707,takeshi,"$17,004",1,6,2,1
708,Winter,"$17,002",5,4,3,0
709,dexter,"$17,000",0,1,1,0
710,3z,"$16,847",1,0,3,0
711,Phlaty,"$16,805",0,4,1,0
712,Bruce,"$16,771",1,2,1,0
713,Shushei,"$16,690",3,0,1,1
714,Absolut,"$16,611",2,3,0,0
715,Totoro,"$16,580",1,0,0,0
716,Shini,"$16,561",4,3,0,0
717,5fire,"$16,530",8,3,2,0
718,Crumbz,"$16,510",0,2,1,0
719,Mingjing,"$16,399",0,0,0,0
720,UmTi,"$16,366",0,1,0,0
721,Lindarang,"$16,305",0,0,1,0
722,Chrisberg,"$16,173",7,0,3,0
723,DoubleAiM,"$16,061",3,2,1,0
724,Rock,"$15,992",0,1,2,0
725,Araneae,"$15,990",1,0,1,0
726,Acce,"$15,974",1,2,2,0
727,Coldenfeet,"$15,931",0,5,0,0
728,Milica,"$15,930",6,2,2,0
729,Chap,"$15,855",4,3,3,0
730,Thal,"$15,841",1,2,0,0
731,Labrov,"$15,824",3,0,2,0
732,Dardoch,"$15,800",0,1,2,0
733,Kitty,"$15,669",8,4,4,0
734,Kinzu,"$15,601",0,2,2,0
735,WADID,"$15,576",2,1,1,0
736,Guoguo,"$15,573",0,1,0,0
737,Hudie,"$15,573",0,1,0,0
738,Doss,"$15,572",2,6,2,0
739,Jaeger,"$15,560",2,1,4,0
740,Le Roi Bisou,"$15,509",4,0,2,0
741,Qingtian,"$15,489",1,0,0,0
742,Visdom,"$15,488",0,2,5,0
743,Melon,"$15,482",4,3,4,0
744,Hoon,"$15,459",1,0,0,0
745,Rodov,"$15,363",3,2,1,0
746,Reeker,"$15,342",3,0,0,0
747,wewillfailer,"$15,334",1,1,1,1
748,Zin,"$15,329",1,0,2,0
749,toucouille,"$15,297",6,2,0,0
750,Ellam,"$15,295",4,1,0,0
751,Wisdom,"$15,278",2,0,1,1
752,Special,"$15,258",5,7,1,0
753,Rabble,"$15,252",0,1,3,0
754,Kaigu,"$15,235",2,4,1,0
755,Goku,"$15,088",2,5,2,0
756,Kaze,"$15,052",4,3,2,0
757,Lukezy,"$14,929",2,5,1,0
758,Th3Antonio,"$14,926",5,3,0,0
759,Jjun,"$14,925",3,1,1,0
760,SeongHwan,"$14,901",0,0,1,0
761,Tgee,"$14,835",2,4,1,0
762,Beyond,"$14,798",0,0,0,0
763,icon,"$14,788",1,0,1,1
764,Nappon,"$14,694",2,1,1,1
765,Mellisan,"$14,690",3,0,1,1
766,Adam,"$14,656",3,0,2,0
767,Ryoma,"$14,655",2,3,5,1
768,Ben4,"$14,631",0,1,0,0
769,RD,"$14,631",0,0,0,0
770,Snow,"$14,615",1,0,0,0
771,Captain,"$14,615",1,0,0,0
772,XUN,"$14,615",1,0,0,0
773,zs,"$14,615",1,0,0,0
774,Akaadian,"$14,600",0,2,0,0
775,Ian,"$14,515",0,1,1,0
776,Aun,"$14,497",0,5,1,0
777,Ares,"$14,468",2,0,0,0
778,Tolerant,"$14,388",2,2,1,1
779,Xioh,"$14,342",1,5,3,0
780,Yeon,"$14,270",4,2,1,0
781,Dread,"$14,233",1,0,1,0
782,Sharkk,"$14,209",4,2,2,0
783,Ryan,"$14,205",1,2,1,0
784,Alex,"$14,169",0,1,2,0
785,Enjawve,"$14,164",2,2,3,0
786,Max,"$14,162",0,1,0,0
787,Viod,"$14,152",1,0,0,0
788,Shanks,"$14,152",1,1,0,0
789,yT,"$14,138",0,3,0,0
790,Kektz,"$14,006",4,6,2,0
791,XiaoWeiXiao,"$14,000",0,0,1,0
792,EGO,"$13,876",1,1,0,0
793,TraYtoN,"$13,874",1,3,1,0
794,Jett,"$13,801",2,0,0,0
795,Jinoo,"$13,685",0,1,1,0
796,Gari,"$13,670",5,2,1,0
796,Luci,"$13,656",2,3,1,0
796,Atlanta,"$13,617",2,0,0,0
799,Hybrid,"$13,580",1,1,2,1
800,Mills,"$13,526",2,1,0,0
801,H0R0,"$13,392",1,1,0,0
802,SozPurefect,"$13,322",4,4,4,0
803,Patoy,"$13,300",0,1,0,0
804,Shiro,"$13,217",3,3,0,0
805,mancloud,"$13,050",0,0,2,0
806,Zuna,"$13,050",0,0,2,0
807,Ronaldo,"$13,006",8,3,2,0
807,Moon,"$13,000",0,0,0,0
809,Violet,"$12,893",0,0,1,0
810,Ruin,"$12,890",2,0,3,0
811,Fury,"$12,862",0,0,1,0
812,Pride,"$12,853",4,2,0,0
813,Mole,"$12,843",0,1,1,0
814,Leza,"$12,831",1,2,1,0
815,BloodWater,"$12,800",0,0,2,0
816,Meteor,"$12,754",0,1,1,0
817,Kine,"$12,754",0,2,0,0
818,Seigimitsu,"$12,714",0,0,0,0
819,OnFleek,"$12,713",0,2,1,0
820,Lava,"$12,695",0,0,0,0
821,Mightybear,"$12,650",0,2,0,0
822,HeaQ,"$12,629",0,1,1,0
823,Vsta,"$12,625",0,0,2,0
824,Narkuss,"$12,625",3,2,2,0
825,Celebrity,"$12,612",2,1,3,0
826,Hadess,"$12,609",9,4,0,0
827,Speedy,"$12,527",0,2,0,0
828,Nji,"$12,524",9,3,0,0
829,MaHa,"$12,519",0,1,0,0
830,esA,"$12,504",3,7,2,1
831,Vasked,"$12,489",4,3,0,0
832,Reapered,"$12,489",2,0,0,0
833,Flaresz,"$12,458",2,0,2,0
834,DuDu,"$12,447",0,0,1,0
835,Asper,"$12,437",2,0,1,0
836,LIMIT,"$12,428",1,0,0,0
837,Klowny,"$12,428",3,2,2,0
838,Memento,"$12,399",0,2,1,0
839,Quas,"$12,380",0,0,3,0
840,Darlik,"$12,372",6,1,1,0
841,Spooky,"$12,324",4,0,0,0
842,Julien,"$12,290",3,2,2,0
843,Anthrax,"$12,281",6,3,0,0
844,OzoraVeki,"$12,257",3,3,0,0
845,Renyu,"$12,216",2,1,3,0
845,Vzz,"$12,191",4,0,0,0
847,Aix,"$12,190",2,1,0,0
848,Cube,"$12,190",1,1,0,0
849,Hang,"$12,190",1,0,0,0
850,Value,"$12,180",5,0,3,0
851,Scarlet,"$12,046",2,3,0,0
852,NIXWATER,"$12,000",0,0,0,0
853,Cotopaco,"$11,975",2,2,2,0
854,Erdote,"$11,941",3,1,1,0
855,Secret,"$11,903",0,0,2,0
856,Artifact,"$11,841",0,1,2,0
857,Crush,"$11,778",2,0,0,0
858,Atom,"$11,756",1,6,2,0
859,Dove,"$11,739",0,2,2,0
860,yoHan,"$11,737",1,0,2,0
861,Vardags,"$11,704",0,4,2,0
862,Hamez,"$11,605",4,5,1,0
863,Cupcake,"$11,602",4,2,4,1
864,Ren,"$11,571",1,2,0,0
865,Skash,"$11,557",1,0,0,0
866,Haise,"$11,536",0,1,0,0
867,Pancake,"$11,510",1,1,1,0
868,Wos,"$11,509",4,4,0,0
869,Aloned,"$11,482",1,1,0,0
870,MrRalleZ,"$11,464",0,0,2,0
871,Masterwork,"$11,439",5,2,1,0
872,Relic,"$11,412",2,2,2,0
873,Seaz,"$11,408",5,0,0,0
874,Lucker,"$11,391",3,1,1,0
875,Brosak,"$11,364",1,3,3,0
876,Karim kt,"$11,325",1,3,1,0
877,SoaR,"$11,312",0,3,2,0
878,Raes,"$11,302",4,4,3,1
879,Quixeth,"$11,255",5,5,0,0
880,DoeDoii,"$11,205",4,2,0,0
881,Pulsas,"$11,191",2,1,1,0
882,Bono,"$11,179",0,0,0,0
883,Josedeodo,"$11,165",1,0,1,0
884,Apollo,"$11,140",1,1,1,0
885,Kerberos,"$11,138",7,4,5,0
886,Padden,"$11,085",2,0,0,1
887,Dumbledoge,"$11,050",4,2,0,1
888,Wysek,"$11,047",0,3,1,0
889,Obvious,"$11,032",4,1,1,0
890,Four,"$11,031",2,4,1,0
891,Altec,"$11,000",0,1,1,0
892,Markoon,"$10,967",2,2,0,0
893,DNK,"$10,954",0,1,2,0
894,Jezu,"$10,811",1,0,2,0
895,Erry,"$10,800",1,1,0,0
896,Jukes,"$10,800",0,0,0,0
897,Fragas,"$10,800",1,0,0,0
898,Matsukaze,"$10,786",2,5,0,0
899,Caedrel,"$10,785",1,2,1,0
900,Arthur,"$10,763",0,1,1,0
901,Razork,"$10,736",1,6,0,0
902,Genthix,"$10,687",3,0,2,0
903,Secr3t,"$10,666",0,1,0,0
904,Meight,"$10,649",4,4,1,0
905,Zzus,"$10,621",2,0,1,1
906,Deokdam,"$10,621",1,2,0,0
907,CBL,"$10,606",1,0,4,0
908,Justice,"$10,513",0,0,0,0
909,StarLast,"$10,489",1,0,0,0
910,Yaharong,"$10,486",0,1,0,0
911,Dragonminkim,"$10,440",2,0,0,0
912,Kati,"$10,371",3,2,0,0
913,Furuy,"$10,293",4,4,5,0
914,HiRit,"$10,238",3,0,0,0
915,Malrang,"$10,226",0,1,1,0
916,Gamsu,"$10,200",0,1,2,0
917,Cat,"$10,181",0,1,0,0
918,Bananitoo,"$10,118",5,0,3,0
919,niQ,"$10,102",1,2,1,0
920,Yoppa,"$10,101",2,2,1,0
921,Papa Chau,"$10,050",0,2,1,0
922,Tally,"$10,038",3,2,3,0
923,Ruby,"$10,029",0,2,0,0
924,Hammock,"$10,000",0,1,0,0
925,Eyla,"$10,000",2,2,1,0
926,GreenTea,"$10,000",0,0,0,0
927,Doxa,"$10,000",1,1,0,0
928,BunnyFuFuu,"$10,000",0,2,0,0
929,Haeri,"$10,000",1,2,0,0
930,BocaJR,"$9,995",2,0,1,0
931,Closer,"$9,938",2,1,0,1
932,GodKwai,"$9,872",1,0,0,0
933,FBI,"$9,860",2,2,2,0
934,Griffin,"$9,850",0,2,2,0
935,Alois,"$9,849",7,2,0,0
936,Prime,"$9,826",4,2,0,0
937,Nikola,"$9,762",4,2,1,0
938,Advienne,"$9,752",1,1,0,0
939,Bravado,"$9,750",3,0,2,0
940,Decoy,"$9,696",2,1,3,1
941,Taikki,"$9,693",0,3,3,0
942,KingJ,"$9,676",0,1,2,0
943,Pooh,"$9,667",0,1,0,0
944,Yampi,"$9,666",3,3,2,0
945,Kruimel,"$9,637",3,5,2,0
946,Shrimp,"$9,616",1,3,0,0
947,MANTARRAYA,"$9,613",2,0,0,0
948,Gumayusi,"$9,520",2,1,0,0
949,behave,"$9,519",3,4,1,0
950,Phantiks,"$9,509",3,2,1,0
951,Sorn,"$9,499",0,1,3,0
952,MarioMe,"$9,493",2,0,1,0
953,Cepted,"$9,435",1,1,1,0
954,Jwaow,"$9,429",1,1,4,0
955,Tenacity,"$9,420",2,1,3,0
956,Kenvi,"$9,420",2,1,3,0
957,JimieN,"$9,400",0,0,1,0
958,Raven,"$9,370",1,0,0,0
959,SuNo,"$9,360",1,0,1,0
959,Breaker,"$9,350",0,1,2,0
961,Zealot,"$9,307",0,1,0,0
962,Godbro,"$9,258",4,3,1,1
963,xani,"$9,242",1,2,1,0
964,MnM,"$9,240",0,0,0,0
965,Hieu3,"$9,237",0,1,0,0
966,Sinmivak,"$9,228",2,0,3,0
967,Wakz,"$9,207",3,4,2,0
968,Juzinho,"$9,205",1,0,0,1
969,Dom1nant,"$9,205",4,4,0,0
970,Doggo,"$9,200",0,1,0,0
971,wuji,"$9,195",1,2,2,0
972,mumus100,"$9,190",1,5,3,0
973,Bie,"$9,116",1,1,2,0
974,Ceos,"$9,052",3,0,3,0
975,DudsTheBoy,"$9,052",3,0,3,0
976,Sun,"$9,000",0,0,0,0
977,Rich,"$8,975",0,2,0,0
978,REFRA1N,"$8,943",1,0,1,0
979,Rakyz,"$8,932",0,5,0,0
980,Yursan,"$8,900",0,0,1,0
981,Reven,"$8,890",1,0,0,0
982,Shenyi,"$8,876",0,1,1,0
983,Von,"$8,853",2,2,1,0
984,PCL,"$8,838",1,4,2,0
985,Plasma,"$8,807",4,0,1,0
986,Ggamza,"$8,778",4,1,0,0
987,Tussle,"$8,777",4,4,2,1
988,Delitto,"$8,769",3,2,0,0
989,NoFe,"$8,765",0,0,0,0
990,DREAMPYLLA,"$8,758",1,3,0,0
991,Bolulu,"$8,741",3,2,0,0
992,Cookie,"$8,738",1,3,0,0
993,ppgod,"$8,736",0,0,1,0
994,CozQ,"$8,724",1,2,0,0
995,Ohq,"$8,721",0,0,0,0
996,Jester,"$8,717",1,2,3,0
997,Yuuki,"$8,708",0,0,0,0
998,beansu,"$8,701",2,4,2,0
999,HolyPhoenix,"$8,698",5,1,0,0
1000,Stefan,"$8,689",2,2,0,0
1001,Kartis,"$8,674",1,0,0,0
1002,Touch,"$8,672",4,0,2,0
1003,Engo,"$8,660",1,0,1,0
1004,Frappii,"$8,648",1,4,0,0
1005,Paris,"$8,628",3,1,2,0
1006,Kroghsen,"$8,612",11,2,4,0
1007,Shiganari,"$8,590",0,3,0,0
1008,Alive,"$8,588",1,2,0,0
1009,SLT,"$8,551",1,2,2,0
1009,Parang,"$8,501",1,1,1,0
1011,Drobovik123,"$8,469",0,2,1,0
1012,Chapapi,"$8,452",8,2,0,0
1013,WeiZor,"$8,417",2,1,1,0
1014,XinMo,"$8,406",1,0,0,0
1015,Route,"$8,355",0,0,1,0
1016,Makler,"$8,350",1,0,1,0
1017,Wolfe,"$8,330",1,1,3,0
1018,Bloody,"$8,301",4,2,2,0
1019,Rainbow,"$8,283",1,0,1,0
1020,Grell,"$8,282",0,4,1,0
1021,Dreamer Ace,"$8,279",0,2,0,0
1022,Blazes,"$8,271",1,1,3,0
1023,Fox,"$8,250",1,2,0,0
1024,Giyuu,"$8,200",0,1,0,0
1025,Nerroh,"$8,180",2,7,0,0
1026,Allorim,"$8,178",0,2,1,0
1027,TasteLess,"$8,160",3,4,0,0
1028,rhuckz,"$8,127",3,4,0,1
1029,Cariok,"$8,065",2,2,1,0
1030,EvanRL,"$8,050",1,2,3,0
1031,Stunt,"$8,000",1,0,1,0
1032,Likai,"$8,000",0,0,1,0
1033,Blossom,"$7,996",1,0,0,0
1034,Kadir,"$7,995",0,2,1,0
1035,k0u,"$7,995",3,3,1,0
1036,Katare,"$7,974",3,2,0,0
1037,Mireu,"$7,957",1,0,0,0
1038,Hollow,"$7,954",0,2,1,0
1039,Kindless,"$7,900",2,3,2,0
1040,EdinPriqtel,"$7,892",2,0,1,0
1041,SadJesteRRR,"$7,872",0,0,0,0
1042,Cody,"$7,837",2,0,1,0
1043,Plox,"$7,788",1,4,2,0
1044,Ashanome,"$7,776",3,5,1,0
1045,QQmore,"$7,774",0,3,2,0
1046,Pyrka,"$7,770",1,0,4,0
1047,Luger,"$7,763",1,2,3,0
1048,Unho1y,"$7,761",1,2,0,0
1049,Nightmares,"$7,737",3,7,2,0
1050,Elwind,"$7,734",2,0,1,2
1051,Mojito,"$7,734",3,0,1,2
1051,Madness,"$7,734",2,0,1,2
1053,Swordd,"$7,700",0,0,0,0
1054,Sedrion,"$7,695",0,2,2,0
1055,Creaton,"$7,680",1,0,0,0
1056,Bruness,"$7,651",2,1,2,0
1057,Zvene,"$7,581",2,1,1,0
1058,Gango,"$7,570",0,1,2,0
1059,TheRainMan,"$7,540",1,1,2,0
1060,Ackerman,"$7,490",3,0,0,0
1061,Czajek,"$7,473",2,0,3,0
1062,Pake,"$7,454",0,1,2,0
1063,Fitz,"$7,384",0,1,1,0
1064,Vince,"$7,312",5,2,0,0
1065,JunJia,"$7,287",1,0,0,0
1066,Lonely,"$7,215",0,0,2,0
1067,Duoking,"$7,200",1,3,0,0
1068,Tiger,"$7,151",4,1,1,0
1069,Berserker,"$7,128",3,1,0,0
1070,CaD,"$7,094",0,1,0,0
1071,YutoriMoyasi,"$7,089",4,3,4,1
1072,Diamante,"$7,084",0,0,0,0
1073,Divkid,"$7,037",0,0,3,0
1074,Tomo,"$7,000",2,1,0,0
1075,JayJ,"$7,000",1,0,0,0
1076,Clozer,"$6,987",0,0,0,0
1077,Minit,"$6,963",0,2,0,0
1078,Melonik,"$6,946",1,0,1,0
1079,Catch,"$6,938",2,1,0,0
1080,Aku,"$6,921",3,6,2,0
1081,Baula,"$6,916",1,5,0,0
1082,Mocha,"$6,893",1,0,0,1
1083,Turtle,"$6,877",1,1,1,0
1083,Chieftain,"$6,874",0,1,0,0
1083,MoMa,"$6,860",0,1,0,0
1086,Secaf Reis,"$6,853",0,0,0,0
1087,Swip3rR,"$6,852",3,6,1,1
1088,Archie2B,"$6,842",0,1,0,0
1089,Exakick,"$6,812",0,1,1,0
1090,Keane,"$6,800",1,0,0,0
1091,Yusui,"$6,800",0,0,0,0
1092,Raqo,"$6,762",5,5,2,0
1093,Shinsekai,"$6,759",1,0,0,0
1093,Goose,"$6,738",5,6,1,0
1093,Quicktimer,"$6,723",2,2,0,0
1096,Afflict,"$6,699",2,0,0,0
1097,HuSha,"$6,687",0,2,0,0
1098,Topoon,"$6,675",3,0,0,0
1099,Hasmed,"$6,660",0,1,1,0
1100,Khantos,"$6,653",0,2,0,0
1101,Wizer,"$6,626",0,0,1,0
1102,Kino,"$6,616",0,1,1,0
1103,Nova,"$6,609",0,0,1,0
1104,rjs,"$6,549",1,0,0,0
1105,Rueven,"$6,510",1,0,1,0
1106,Jree,"$6,500",1,0,2,0
1107,Praedyth,"$6,500",1,0,0,0
1108,Pabu,"$6,500",1,2,0,0
1109,Chazz,"$6,500",1,0,0,0
1110,Dimonko,"$6,476",0,1,0,0
1111,HyBriD,"$6,472",0,0,1,0
1112,Halo,"$6,450",1,2,0,0
1113,UDYSOF,"$6,450",1,0,0,0
1114,Scarface,"$6,435",1,3,1,0
1115,Petland,"$6,409",1,2,0,0
1116,Kronos,"$6,387",1,2,0,0
1117,Luskka,"$6,365",1,1,0,0
1118,Professor,"$6,355",0,2,2,0
1119,Sks,"$6,321",0,0,0,0
1120,LukasNegro,"$6,312",1,4,0,0
1121,Raven,"$6,304",0,1,0,0
1122,Baltica,"$6,223",0,1,0,0
1123,Frozen,"$6,210",6,1,0,0
1124,SOUPerior,"$6,200",1,1,0,0
1125,xiaolaohu,"$6,196",0,1,0,0
1126,Care,"$6,196",0,1,0,0
1127,Angush,"$6,180",0,0,1,0
1128,Ippon,"$6,124",0,2,2,0
1129,Jojo,"$6,114",1,3,0,0
1130,Rogue,"$6,114",2,0,2,0
1131,Shiphtur,"$6,100",0,2,0,0
1132,Crystal,"$6,088",1,2,0,0
1133,Bruno,"$6,082",1,0,0,0
1134,Jiekou,"$6,078",1,0,1,1
1135,Yama,"$6,000",0,0,0,0
1136,OmarGod,"$6,000",0,1,1,0
1137,fNb,"$5,960",2,3,0,0
1138,Krastymel,"$5,959",2,2,2,0
1139,Joker,"$5,945",0,1,2,0
1140,Rod,"$5,932",1,4,0,0
1141,Nolan,"$5,893",4,1,0,0
1142,Seelame,"$5,889",3,3,2,0
1143,Navio,"$5,888",0,1,1,0
1144,Xaky,"$5,887",4,3,1,0
1145,Martin,"$5,883",0,0,0,0
1146,Ritix,"$5,864",1,1,0,0
1147,Wings,"$5,862",0,1,0,0
1148,M1anhua,"$5,862",0,3,0,0
1149,fearness,"$5,862",0,1,0,0
1150,Disave,"$5,856",1,0,1,0
1151,Cboi,"$5,850",4,4,1,0
1152,LeX,"$5,832",0,1,0,0
1153,Weiwei,"$5,805",0,0,0,0
1154,Biubiu,"$5,805",0,0,0,0
1155,Samd,"$5,805",0,0,0,0
1156,zoiren,"$5,786",3,1,0,0
1156,Getback,"$5,750",0,0,0,0
1156,Saviour,"$5,731",5,4,0,0
1159,Astarore,"$5,725",3,1,0,0
1160,twohoyrz,"$5,721",1,0,1,0
1161,Missing,"$5,664",1,1,0,0
1162,Poss,"$5,664",0,0,0,0
1163,Teacherma,"$5,664",0,0,0,0
1164,Elk,"$5,664",0,1,0,0
1165,beishang,"$5,664",0,2,0,0
1166,Xzz,"$5,661",0,1,0,0
1166,hyrqBot,"$5,650",1,0,1,0
1168,Fenfen,"$5,604",0,0,0,0
1169,Maestro,"$5,604",0,0,0,0
1170,Zhergoth,"$5,600",3,3,0,0
1171,Lourlo,"$5,600",0,0,0,0
1172,Nille,"$5,595",1,1,2,0
1173,Noltey,"$5,564",0,4,7,0
1174,Pride,"$5,544",0,2,0,0
1175,Freire,"$5,523",2,0,1,0
1176,aesthetic,"$5,509",1,1,2,0
1177,Anyyy,"$5,497",1,0,1,0
1178,Hauz,"$5,482",3,0,0,0
1179,Inition,"$5,475",1,2,0,0
1180,Krakmo,"$5,467",1,4,1,0
1181,Albetrayber,"$5,431",6,4,3,0
1182,Seize,"$5,430",0,1,0,0
1183,007x,"$5,400",0,0,0,0
1184,LL,"$5,366",0,1,0,0
1184,Kamilius,"$5,346",2,1,1,0
1186,Oner,"$5,316",2,2,0,0
1187,Kerp,"$5,301",1,0,1,0
1188,Ruvelius,"$5,296",2,0,1,1
1189,CheonGo,"$5,280",0,0,0,0
1190,Own3r,"$5,236",3,3,0,0
1191,xTyLk,"$5,227",1,2,0,0
1192,SkyBart,"$5,210",0,4,2,0
1193,Priskornet,"$5,197",2,2,1,0
1194,FATE,"$5,183",0,0,2,0
1195,Saulius,"$5,158",1,4,1,0
1196,Dreedy,"$5,158",2,3,1,0
1197,NoXiAK,"$5,156",0,0,2,0
1198,komedyja,"$5,144",2,1,0,0
1199,ActScene,"$5,142",0,0,0,0
1200,Zuao,"$5,134",1,0,4,0
1201,Zergsting,"$5,134",1,0,0,1
1202,MightyDragon,"$5,133",1,1,0,0
1203,Youngjae,"$5,120",0,0,2,0
1204,Nxi,"$5,120",3,3,0,0
1205,Nestea,"$5,113",0,0,1,0
1206,Mersa,"$5,112",2,0,0,0
1207,Jauny,"$5,080",4,1,0,0
1208,InTreso,"$5,068",2,2,0,0
1209,kubYD,"$5,067",3,0,1,0
1210,Baiano,"$5,059",0,1,1,0
1211,Juhan,"$5,031",0,1,1,0
1212,Prismal,"$5,000",3,1,0,0
1213,MaGeRdAnGeR,"$5,000",0,0,0,0
1214,Call Lin,"$5,000",0,0,0,0
1215,Keshi,"$4,994",0,1,0,0
1216,FireRain,"$4,980",0,0,1,0
1217,Motive,"$4,974",0,0,1,0
1218,Aoshi,"$4,947",0,1,2,0
1219,Victory,"$4,932",0,0,0,0
1220,Nemky,"$4,927",0,2,0,0
1221,Quinncidence,"$4,925",2,1,0,0
1222,Khynm,"$4,920",1,1,1,0
1223,Munckizz,"$4,914",4,4,4,0
1224,Yado,"$4,910",0,0,0,0
1225,Marrow Ooze,"$4,903",7,2,1,0
1226,Erixen,"$4,898",3,0,1,0
1227,JaVaaa,"$4,879",1,1,0,0
1228,Unknown,"$4,879",2,3,2,0
1229,Sephis,"$4,874",2,0,0,0
1230,Archeny,"$4,831",1,1,2,0
1231,Woody,"$4,814",0,0,1,0
1232,Zeus,"$4,811",1,1,0,0
1233,Defles,"$4,808",0,2,1,0
1234,Hakuho,"$4,800",0,0,0,0
1235,XoNix,"$4,785",0,0,0,0
1236,Emtest,"$4,775",0,2,0,0
1237,Damage,"$4,772",1,2,1,0
1238,Croco,"$4,768",0,0,1,0
1239,ImSoFresh,"$4,758",0,1,0,0
1240,Bean,"$4,757",1,2,1,0
1241,Mimic,"$4,757",2,0,1,0
1242,Reje,"$4,743",3,3,0,0
1243,S0NSTAR,"$4,740",0,0,0,0
1244,Tutsz,"$4,708",1,0,0,0
1245,Haydal,"$4,707",2,5,0,0
1246,Ryuzaki,"$4,683",1,3,2,0
1247,Hyoga,"$4,681",1,0,1,0
1248,Rifty,"$4,668",2,4,2,0
1249,Kabe,"$4,664",0,1,0,0
1250,Guigo,"$4,645",2,0,1,0
1251,Akunma,"$4,640",1,3,0,0
1252,yijie,"$4,618",0,1,1,0
1253,Acidy,"$4,616",2,1,1,0
1254,Cl0x,"$4,608",0,4,2,0
1255,Maoan,"$4,600",0,1,0,0
1256,Claire,"$4,588",1,3,7,1
1257,Mask,"$4,578",0,1,0,0
1258,Skude,"$4,573",5,4,0,0
1259,Youdang,"$4,571",1,2,0,0
1260,ZWuJi,"$4,571",0,1,0,0
1261,Avenger,"$4,525",2,0,2,0
1262,Tioo,"$4,522",1,2,2,0
1263,Envy Carry,"$4,503",1,0,0,0
1264,Locodoco,"$4,470",0,0,0,0
1265,JinO,"$4,458",1,0,0,0
1266,Kakan,"$4,458",4,1,2,0
1267,Hadow,"$4,435",4,6,3,0
1268,Azure,"$4,434",0,2,0,0
1269,Flaxxish,"$4,421",1,3,0,0
1270,Myw,"$4,396",1,1,1,0
1271,Wiz,"$4,393",1,0,0,0
1272,Guubi,"$4,376",1,3,1,0
1273,Raise,"$4,368",1,0,1,0
1274,Cabu,"$4,360",1,0,3,0
1275,Bay,"$4,358",0,1,0,0
1276,Wayne,"$4,358",0,1,0,0
1277,LaFleur,"$4,345",5,1,0,0
1278,Rakin,"$4,338",0,1,1,0
1279,Aoi Haru,"$4,337",1,0,0,0
1280,Once,"$4,329",1,0,2,0
1281,Night,"$4,320",4,5,0,0
1282,Kuma,"$4,299",0,0,1,0
1283,DuaLL,"$4,297",1,1,0,0
1284,Aegis,"$4,288",2,0,0,0
1285,Khael,"$4,277",1,0,1,0
1286,pbO,"$4,273",2,2,1,0
1287,FUN k3y,"$4,263",0,2,1,0
1288,Shiny,"$4,240",2,0,1,0
1289,Garo,"$4,239",1,1,2,0
1290,Eckas,"$4,234",3,1,0,0
