number,name,earnings in USD,Number of major tournaments won,Number of second place placing,number of third place placings,number of regional tournaments won
290,Killua,"$52,738",1,2,2,1
291,Moojin,"$52,721",2,1,1,2
292,Orome,"$52,481",3,2,2,0
293,AHaHaCiK,"$52,457",7,1,0,0
294,Flandre,"$52,292",0,1,1,0
295,Gori,"$52,127",2,0,0,1
296,san,"$51,767",0,1,0,0
296,LoveLing,"$51,767",0,1,0,0
296,Gogoing,"$51,767",0,1,0,0
299,Roach,"$51,543",2,4,0,1
300,Keria,"$50,873",0,1,1,0
301,Wh1t3zZ,"$50,820",0,1,0,0
302,Cabochard,"$50,759",1,3,1,0
303,aMiracle,"$50,618",2,1,0,0
304,XuanXuanPi,"$50,545",1,0,0,1
305,Snoopeh,"$50,505",1,2,3,0
306,U,"$50,471",1,1,0,1
307,Lucky,"$50,400",0,1,0,0
307,Tabe,"$50,400",0,1,0,0
309,Bigkoro,"$50,072",2,3,1,0
310,nukeduck,"$50,024",2,7,1,1
311,Pyl,"$49,822",1,1,1,1
312,Gilius,"$49,769",2,2,4,0
313,Denyk,"$49,614",3,6,0,0
314,Gadget,"$49,574",5,4,1,0
315,Rockky,"$49,396",6,1,1,0
316,Kaiwing,"$49,178",5,1,1,0
317,Ramune,"$48,698",6,0,2,1
318,Jesiz,"$48,639",2,2,5,0
319,Yellowpete,"$48,625",1,1,2,0
320,Zeros,"$48,254",3,2,1,0
321,Oddie,"$48,045",7,1,3,0
322,Piccaboo,"$47,863",1,1,0,1
323,Larssen,"$47,364",1,4,1,0
324,delord,"$47,253",9,4,2,0
325,Shemek,"$47,026",12,6,3,0
326,GODV,"$47,005",1,1,0,1
327,Zanzarah,"$46,840",3,8,1,0
328,Tolkin,"$46,683",8,3,2,0
329,Kold,"$46,111",5,2,1,1
330,MaKNooN,"$46,079",1,2,0,1
331,Kongyue,"$45,742",0,2,3,0
332,Optimus,"$45,675",6,1,2,0
333,Pyosik,"$45,654",0,1,1,0
334,baybay,"$45,400",0,2,2,0
335,Cody Sun,"$45,263",1,3,0,0
336,Bugi,"$45,246",2,1,2,1
337,Neon,"$45,166",3,4,0,0
338,xMatty,"$45,093",20,7,4,0
339,Road,"$45,089",0,2,1,0
340,Uniboy,"$44,842",0,2,4,0
341,Expession,"$44,838",0,0,0,0
342,Fly,"$44,815",3,3,2,0
343,Ggoong,"$44,527",0,3,0,0
