number,Team Name,Earnings in USD,Number of Major Tournaments Won,Number of Second Place Placings,Number of Bronze Place Placings,Number of Regional Tournaments Won
187,Panathinaikos A.C. eSports,"$24,557",1,0,1,0
188,ANEW Esports,"$24,000",2,2,0,0
189,IziDream,"$23,940",5,0,0,0
190,Natus Vincere,"$23,579",0,0,0,0
191,UCAM Esports Club,"$23,407",1,2,0,0
192,Cloud9 Eclipse,"$23,250",2,0,0,0
193,Brion Esports,"$22,753",0,0,1,0
194,Hard Random,"$22,565",1,1,0,0
195,MnM Gaming,"$22,324",1,5,6,0
196,Steelwolves Gaia,"$22,168",0,2,0,0
197,Golden Guardians Academy,"$22,000",1,1,0,0
198,Out of the Blue Team,"$21,201",2,0,1,0
199,CLG Academy,"$21,000",1,1,0,0
200,Ventus Esports,"$20,628",2,0,0,0
201,100 Thieves Next,"$20,600",2,2,1,0
202,Team VSG,"$20,467",0,2,0,0
203,Outplayed,"$20,257",1,3,0,0
204,Friends Forever QTV Gaming,"$19,911",0,0,2,0
205,FlyQuest Academy,"$19,000",1,1,0,0
206,South Korea,"$18,948",2,1,0,0
207,ArkAngel,"$18,659",0,0,1,0
208,Bigetron Esports,"$18,414",1,0,0,0
209,Enclave,"$18,275",1,3,3,0
210,Hanwha Life Challengers,"$17,839",0,1,0,0
211,Nordavind,"$17,794",3,0,1,0
212,Wind and Rain,"$17,773",0,1,1,0
213,Grow uP eSports,"$17,689",0,2,0,0
214,ES Sharks,"$17,597",1,0,0,0
215,FTV Esports,"$17,299",0,0,0,0
216,Team Secret,"$17,287",0,0,1,0
217,Team MCES,"$16,746",0,1,2,0
218,One Breath Gaming,"$16,697",0,0,0,0
219,Team DPD,"$16,433",0,2,0,0
220,Bastille Legacy,"$16,424",2,2,1,0
221,NVision Esports,"$16,315",1,1,0,0
222,Seorabeol Gaming,"$16,246",1,0,0,0
223,Cherry Esports,"$16,128",0,0,0,0
224,Winners,"$16,116",0,1,1,0
224,Wind and Rain Balkan,"$16,116",1,0,1,0
226,Evil Geniuses Prodigies,"$16,100",1,1,1,0
227,Diabolus Esports,"$15,769",4,4,4,0
228,PENTA 1860,"$15,623",4,1,0,0
229,Random 5,"$15,384",1,0,0,0
230,x25 eSports,"$14,975",0,1,2,0
231,MachiX,"$14,959",0,3,0,0
232,Alpha Esports,"$14,740",0,0,0,0
233,PSV Esports,"$14,428",2,3,0,0
234,Anorthosis Famagusta Esports,"$14,405",3,0,0,0
235,Mysterious Monkeys.ESLM,"$14,162",1,0,0,0
236,Beyond Gaming,"$14,000",0,1,0,0
236,eUnited,"$14,000",0,2,0,0
238,Redemption eSports Porto Alegre,"$13,796",1,0,1,0
239,RULE,"$13,509",0,0,0,0
240,Berjaya Dragons,"$13,500",0,0,0,0
241,Valiance,"$13,154",0,1,0,0
242,Raise Gaming,"$13,143",0,1,1,0
243,YouthCrew Esports,"$13,000",1,0,1,1
244,WIN Esports,"$12,978",0,1,0,0
245,The Final Tribe,"$12,606",1,1,0,0
246,WiLD MultiGaming,"$12,360",1,1,1,0
247,Dynasty,"$12,197",2,2,4,0
248,Team Liquid Academy,"$12,000",1,0,0,0
249,G2 Arctic,"$11,914",0,2,0,0
250,AGO Gaming,"$11,901",1,1,1,0
251,Operation Kino,"$11,732",0,0,3,0
252,Zero Tenacity,"$11,638",1,1,0,0
253,FALKN,"$11,261",1,2,0,0
254,Bombers,"$11,250",1,0,0,0
255,MAMMOTH,"$11,125",1,0,0,0
256,Prodigy Esports,"$11,002",0,1,0,0
257,Echo Fox Academy,"$11,000",0,1,0,0
258,Team Forge,"$10,952",1,1,0,0
259,KV Mechelen Esports,"$10,914",1,3,0,0
260,Szata Maga+6,"$10,901",0,1,0,0
261,EGN Esports,"$10,858",3,2,1,0
262,Arctic Gaming Mexico,"$10,388",0,1,1,0
263,Capital Esports,"$10,000",1,0,0,0
263,PEACE,"$10,000",0,1,0,0
265,OZ Gaming,"$9,982",0,0,1,0
266,KOVA Esports,"$9,981",2,0,0,0
267,UTM Esports,"$9,794",0,0,1,0
268,DRX Academy,"$9,752",2,2,0,0
269,SolaFide Esports,"$9,700",1,1,1,0
270,Warthox,"$9,657",6,1,0,0
271,Mkers,"$9,622",0,2,1,0
272,Team Kinguin,"$9,013",1,0,0,0
273,Gen.G Challengers,"$8,920",0,0,1,0
274,Splyce Vipers,"$8,910",1,0,0,0
275,Granit Gaming,"$8,896",0,2,0,0
276,ahq e-Sports Club Korea,"$8,857",0,0,0,0
277,Greek Regenesis,"$8,761",0,3,0,0
278,Turing eSports,"$8,738",1,0,0,0
279,eNsure,"$8,714",2,0,0,0
280,Afro Beast,"$8,548",1,0,0,0
281,Estral Esports,"$8,500",5,0,0,0
282,Barrage Esports NA,"$8,460",0,2,1,0
283,ASURA,"$8,380",0,0,0,0
284,Red Bulls,"$8,319",0,0,0,0
285,E WIE EINFACH E-SPORTS,"$8,284",1,0,0,0
286,T Show,"$8,217",1,0,1,0
287,Vipers Inc,"$8,059",0,4,2,0
288,nDurance Gaming,"$8,037",0,0,0,0
289,Tempo Storm,"$8,000",0,0,0,0
290,NYYRIKKI White,"$7,976",0,3,0,0
291,Paris Saint-Germain eSports,"$7,549",0,0,0,0
292,Nova Esports,"$7,500",0,0,0,0
293,Copenhagen Flames,"$7,444",0,3,1,0
294,Godsent,"$7,363",0,0,0,0
295,GameWard,"$7,337",0,1,1,0
296,Triumphant Song Gaming,"$7,327",0,1,0,0
296,Suning-S,"$7,327",0,0,1,0
298,Vorax Liberty,"$7,159",0,2,0,0
299,Campus Party Sparks,"$7,153",2,0,0,0
300,Joy Dream,"$7,076",0,0,1,0
301,Beºiktaº Esports,"$7,065",3,1,0,0
302,DeToNator,"$7,000",0,1,0,0
303,mCon esports Rotterdam,"$6,927",1,0,2,0
304,Santos e-Sports,"$6,878",2,0,0,0
305,Vikings Gaming,"$6,842",0,0,1,0
306,Dusty,"$6,825",0,0,0,0
307,Sky Gaming,"$6,594",0,0,1,0
308,Impunity,"$6,380",0,0,0,0
309,Fact Revolution,"$6,367",1,0,1,0
310,UniQ Esports Club,"$6,150",2,0,0,0
311,T1 Academy,"$6,027",3,2,0,0
312,Packa Pappas Kappsäck,"$5,985",0,1,0,0
313,ORDER,"$5,979",0,2,1,0
314,Atlando Esports,"$5,841",0,0,0,0
315,Intrepid Fox Gaming,"$5,813",0,2,0,0
316,Element Mystic,"$5,774",0,0,0,0
317,Gen.G Academy,"$5,652",3,0,0,0
318,Iron Hawks e-Sports,"$5,586",0,1,0,0
319,Team THRLL,"$5,332",0,0,2,0
320,Cream Real Betis,"$5,119",0,1,1,0
321,Phelan Gaming,"$5,107",0,0,1,0
322,Galaxy Racer EU,"$5,105",1,1,0,0
323,Hyperion Esports,"$5,093",0,0,1,0
324,PRIDE,"$5,089",0,0,0,0
325,Sin Gaming,"$5,069",0,0,2,0
326,Runaway,"$5,050",0,0,0,0
327,Falkol,"$5,009",0,0,0,0
328,Istanbul Wildcats,"$5,000",1,1,0,0
328,Coscu Army,"$5,000",2,0,0,0
330,Luxury Esports,"$4,975",1,0,0,0
331,Macko Esports,"$4,811",2,0,0,0
332,Team BDS,"$4,746",1,0,1,0
333,Zombie Unicorns,"$4,662",1,0,0,0
334,ASUS ROG Army,"$4,648",0,0,1,0
335,LOUD,"$4,619",0,0,0,0
336,Nordavind Academy,"$4,511",1,1,0,0
337,GC Busan Rising Star,"$4,481",0,0,0,0
338,Afreeca Freecs Academy,"$4,452",0,3,0,0
339,Iron Wolves,"$4,412",1,1,1,0
340,Havan Liberty,"$4,402",0,0,1,0
341,Moss Seven Club,"$4,365",0,1,0,0
342,SBTC Esports,"$4,329",0,0,0,0
343,Radiance,"$4,300",0,0,1,0
344,TNC Predator,"$4,266",0,2,0,0
345,Wis³a P³ock Esports,"$4,175",0,0,0,0
346,AS Trenèín eSports,"$4,114",1,0,0,0
347,ENCE,"$4,110",0,0,0,0
348,Sector One Black,"$4,062",1,0,0,0
349,ZHR Gaming,"$4,028",0,1,0,0
350,Unsold Stuff Gaming,"$4,000",1,2,4,1
350,Evilvice e-Sports,"$4,000",0,0,0,0
350,Chinese Taipei,"$4,000",0,0,2,0
350,Dignitas Academy,"$4,000",0,0,0,0
354,Aethra Esports,"$3,782",0,0,2,0
355,SINNERS Esports,"$3,659",0,3,0,0
356,Team Ascent,"$3,604",0,1,0,0
357,China,"$3,579",1,0,1,0
358,Brussels Guardians,"$3,576",0,0,1,0
359,MAD Lions Madrid,"$3,551",0,0,0,0
360,Team BattleComics,"$3,550",0,1,1,0
361,Gamespace  E-Sports,"$3,520",0,1,0,0
362,RSCA Esports,"$3,444",0,0,1,0
363,XTEN Esports,"$3,443",0,0,0,0
364,Hillerod eSport,"$3,346",0,0,0,0
365,Team Afro,"$3,319",0,0,0,0
366,Team Phantasma,"$3,309",0,2,0,0
367,S2V Esports,"$3,304",0,0,0,0
368,Zoos Gaming,"$3,250",0,1,1,0
369,lvlUP Rhinos,"$3,248",0,0,0,0
370,F-Soul Esports,"$3,247",0,0,1,0
371,Burst The Sky Esports,"$3,246",0,0,0,0
372,Hybrid Esports,"$3,216",0,1,2,0
373,Azules Esports,"$3,186",1,0,0,0
374,eXtatus,"$3,177",0,1,0,0
375,Cream Esports Mexico,"$3,100",1,0,3,0
376,BuzzKill,"$3,060",0,1,0,0
377,BOOM Esports,"$3,000",0,0,0,0
377,Dignitas Mirage,"$3,000",0,0,1,0
379,Samsung Morning Stars,"$2,962",1,1,1,0
380,Wind and Rain Germany,"$2,944",0,0,0,0
381,Hall of Fame,"$2,884",0,0,0,0
382,Rensga eSports,"$2,880",0,0,0,0
383,ToxicFalcons Belgium,"$2,848",0,1,0,0
384,OverPower Esports,"$2,802",0,0,0,0
385,TrainHard eSport,"$2,745",0,1,0,0
386,YDN Esports,"$2,743",1,0,0,0
387,Nongshim RedForce Academy,"$2,729",0,1,1,0
388,Beºiktaº e-Sports Club Female,"$2,677",1,1,0,0
389,ToxicFalcons,"$2,504",1,0,0,0
390,Wildcard Gaming Red,"$2,500",3,0,0,0
391,nerdRage,"$2,474",0,0,1,0
392,Goskilla,"$2,376",1,0,0,0
393,PIGSPORTS,"$2,307",1,0,0,0
394,Munster Rugby Gaming,"$2,302",0,0,0,0
395,Miners.gg,"$2,295",0,0,0,0
396,Five Kings,"$2,270",1,0,0,0
397,Flamengo Esports Academy,"$2,139",1,0,0,0
398,Cyber Gaming,"$2,131",0,1,2,0
399,Valhalla Vikings,"$2,120",1,0,1,0
400,Solwing Esports,"$2,053",0,1,0,0
401,Munster Rugby Academy,"$2,015",0,1,0,0
402,PACT,"$2,013",0,0,0,0
403,Avant Gaming,"$2,000",0,1,0,0
404,SAMCLAN Esports Club,"$1,961",1,1,2,0
405,Astralis Talent,"$1,916",0,0,1,0
406,Jasny Gwint,"$1,871",0,0,1,0
407,SANDBOX Gaming Academy,"$1,819",0,0,1,0
408,KT Rolster Academy,"$1,794",1,0,0,0
409,Sharks Esports,"$1,760",0,0,0,0
410,Kenty,"$1,733",0,1,0,0
411,mYinsanity,"$1,729",1,0,0,0
412,TimeOut Esports,"$1,671",0,1,0,0
412,Pyrsos Esports,"$1,671",0,0,1,0
414,Dragon Gate Team,"$1,620",0,0,0,0
415,Furia Esports Academy,"$1,604",0,1,0,0
416,DIVIZON,"$1,583",0,1,0,0
417,Team Same Mordeczki,"$1,542",0,0,0,0
418,Method2Madness,"$1,486",0,1,0,0
419,Team Fighter,"$1,455",1,0,0,0
420,Bulldog Esports,"$1,319",0,0,0,0
421,Rensga eSports Academy,"$1,261",0,0,0,0
422,Racoon,"$1,199",0,2,1,0
423,Tony Parker Adequat Academy,"$1,097",0,0,0,0
424,RED Academy,"$1,070",0,0,0,0
425,Team Oplon,"$1,024",1,1,0,0
426,Anahuac Esports,"$1,000",0,1,0,0
427,Fortress Esports,$937,0,1,0,0
428,Rascal Jester,$919,0,1,2,0
429,Loto Gaming,$900,0,1,0,0
429,Australs,$900,0,0,0,0
431,Submarino Stars,$851,0,0,0,0
431,WP Gaming,$851,0,0,0,0
433,PANTHERS Gaming,$842,0,0,0,0
434,Szef +6,$835,0,0,0,0
435,Team Infamous,$814,0,0,0,0
436,Galakticos,$812,0,0,1,0
437,MAD Lions Mexico,$750,0,0,0,0
437,Resolve NA,$750,0,0,1,0
439,KaBuM! e-Sports Academy,$738,0,0,0,0
440,BloodRain-Gaming,$730,0,1,0,0
441,Howling eSports,$711,0,0,0,0
442,Dynamo Eclot,$699,0,0,1,0
443,Vorax Academy,$624,0,0,0,0
443,LOUD Academy,$624,0,0,0,0
445,Intergalaxy Tigers Gaming,$598,0,0,0,0
446,DarkSpawn Esports,$592,0,0,0,0
447,Esports Academy,$591,0,0,0,0
447,Indictive Esports,$591,0,0,0,0
449,CAZ eSports,$588,0,0,0,0
450,OFFSET Esports,$586,0,0,2,0
451,G2 Vodafone,$582,0,0,0,0
452,ASP Esports,$561,0,0,0,0
453,Miners.gg Academy,$559,0,0,0,0
454,S2V Female,$557,0,1,1,0
455,MJ-Esports,$456,0,0,2,0
456,Sector One Academy,$421,0,0,0,0
457,Legion Gaming,$393,0,0,0,0
458,INTZ Academy,$369,0,0,0,0
459,paiN Gaming Academy,$357,0,0,0,0
460,Hydras Esport,$342,0,0,0,0
460,NYYRIKKI Blue,$342,0,0,0,0
462,Nordic Fox Esport,$340,0,0,0,0
463,Gripen Esport,$227,0,0,0,0
464,E-STORM,$200,0,0,0,0
